Amos;M;Hebreo;Yahveh Ha Sostenido, El Robusto, El Tercerode Los Profetas Menores De Tegda, De Profesion Vaquerizo Y Cultivadorde Higos De Sicomoros
Amparo;F;Latino;La Que Cobija, Que Da Proteccion, Nombre Deuna Advocacion De La Virgen Mariantra.Señora De Los Desamparados
Ampelio;M;Griego;El Que Cultiva Para Hacer Vino
Ampelo;M;Griego;Hijo De Un Satiro Y Una Ninfa, Que Murio Alintentar Tomar Las Uvas De Una Vid, Regalo De Dionisio
Ampliado;M;s/o;s/s
Amuyen;M;s/o;s/s
Amy;F;s/o;s/s
Amye;F;s/o;s/s
An;F;s/o;s/s
Ana;F;s/o;s/s
Ana de las Ermitas;F;s/o;s/s
Anaba;F;s/o;s/s
Anabel;F;s/o;s/s
Anabela;F;s/o;s/s
Anabeli;F;s/o;s/s
Anabella;F;s/o;s/s
Anacario;M;Griego;No Sin Gracia
Anacarla;F;s/o;s/s
Anacelis;F;s/o;s/s
Anaclara;F;s/o;s/s
Anacleto;M;Griego;El Que Fue Invocado-llamado En Voz Altael Resucitado
Anacreonte;M;s/o;s/s
Anadina;F;s/o;s/s
Anael;A;s/o;s/s
Anaelle;F;s/o;s/s
Anahi;F;s/o;s/s
Anahiancy;F;s/o;s/s
Anahid;F;s/o;s/s
Anais;F;s/o;s/s
Anakin;A;s/o;s/s
Analaura;F;s/o;s/s
Analena;F;s/o;s/s
Anali;F;s/o;s/s
Analia;F;s/o;s/s
Analis;F;s/o;s/s
Analisa;F;s/o;s/s
Analiz;F;s/o;s/s
Analua;F;s/o;s/s
Analuz;F;s/o;s/s
Analy;F;s/o;s/s
Anamilla;F;s/o;s/s
Anamlor;F;s/o;s/s
Ananda;F;s/o;s/s
Anandi;F;s/o;s/s
Anando;M;s/o;s/s
Ananias;M;s/o;s/s
Ananquel;F;s/o;s/s
Anarda;F;s/o;s/s
Anasol;F;s/o;s/s
Anastacia;F;s/o;s/s
Anastasia;F;Griego;s/s
Anastasio;M;s/o;s/s
Anastay;F;s/o;s/s
Anat;A;s/o;s/s
Anatalon;M;s/o;s/s
Anatiel;F;s/o;s/s
Anatilde;F;s/o;Usado En España Y Mexico
Anatol;M;s/o;s/s
Anatole;M;s/o;s/s
Anatolia;F;Griego;s/s
Anatolio;M;Griego;El Oriental-hacer Levantar Los Astros, Na-cido En Anatolia O Asia Menor.-generomasculino
Anatonia;F;s/o;s/s
Anaxagoras;M;Griego;El Primero, El Amo, El Principe, El Que So-bresale En La Junta Popular, Nombre Famoso Por El Filosofo Maestro Y A-migo De Pericles Y De Euripides
Ancelin;F;s/o;s/s
Ande;M;s/o;s/s
